train dataset: torch.Size([3, 80, 80]) (x38400), 64
val dataset: torch.Size([3, 80, 80]) (x18748), 64
fs dataset: torch.Size([3, 80, 80]) (x12000), 20
num params: 8.7M
epoch 63, train 1.2823|0.6482, val 1.3371|0.6358, 1.3m 1.5h/2.4h
epoch 64, train 1.2895|0.6474, val 1.4560|0.6225, 1.3m 1.5h/2.4h
epoch 65, train 1.2875|0.6469, val 1.3575|0.6295, fs 1: 0.4898 5: 0.7172, 2.2m 1.6h/2.4h
epoch 66, train 1.2835|0.6528, val 1.3891|0.6272, 1.2m 1.6h/2.4h
epoch 67, train 1.2782|0.6514, val 1.3176|0.6398, 1.2m 1.6h/2.4h
epoch 68, train 1.2823|0.6500, val 1.2196|0.6665, 1.3m 1.6h/2.4h
epoch 69, train 1.2781|0.6488, val 1.4106|0.6202, 1.3m 1.7h/2.4h
epoch 70, train 1.2722|0.6521, val 1.3070|0.6394, fs 1: 0.5177 5: 0.7270, 2.2m 1.7h/2.4h
epoch 71, train 1.2789|0.6515, val 1.3570|0.6337, 1.3m 1.7h/2.4h
epoch 72, train 1.2838|0.6491, val 1.2676|0.6520, 1.3m 1.7h/2.4h
epoch 73, train 1.2789|0.6506, val 1.5093|0.6019, 1.2m 1.8h/2.4h
epoch 74, train 1.2682|0.6515, val 1.3923|0.6169, 1.3m 1.8h/2.4h
epoch 75, train 1.2750|0.6521, val 1.2823|0.6542, fs 1: 0.5206 5: 0.7402, 2.2m 1.8h/2.4h
epoch 76, train 1.2746|0.6555, val 1.2503|0.6591, 1.3m 1.8h/2.4h
epoch 77, train 1.2728|0.6533, val 1.2610|0.6524, 1.3m 1.9h/2.4h
epoch 78, train 1.2785|0.6499, val 1.2715|0.6473, 1.3m 1.9h/2.4h
epoch 79, train 1.2640|0.6542, val 1.4561|0.6129, 1.2m 1.9h/2.4h
epoch 80, train 1.2858|0.6484, val 1.2232|0.6637, fs 1: 0.5253 5: 0.7443, 2.2m 1.9h/2.4h
epoch 81, train 1.2712|0.6536, val 1.3884|0.6263, 1.2m 2.0h/2.4h
epoch 82, train 1.2709|0.6535, val 1.3533|0.6377, 1.2m 2.0h/2.4h
epoch 83, train 1.2616|0.6566, val 1.3533|0.6311, 1.3m 2.0h/2.4h
epoch 84, train 1.2647|0.6552, val 1.2915|0.6504, 1.3m 2.0h/2.4h
epoch 85, train 1.2693|0.6533, val 1.4820|0.6063, fs 1: 0.4896 5: 0.7168, 2.2m 2.1h/2.4h
epoch 86, train 1.2633|0.6541, val 1.2446|0.6606, 1.2m 2.1h/2.4h
epoch 87, train 1.2513|0.6599, val 1.2948|0.6429, 1.3m 2.1h/2.4h
epoch 88, train 1.2722|0.6531, val 1.2600|0.6574, 1.3m 2.1h/2.4h
epoch 89, train 1.2584|0.6578, val 1.2228|0.6665, 1.3m 2.1h/2.4h
epoch 90, train 1.2725|0.6537, val 1.1913|0.6687, fs 1: 0.5128 5: 0.7348, 2.2m 2.2h/2.4h
epoch 91, train 0.9318|0.7495, val 0.7790|0.7833, 1.3m 2.2h/2.4h
epoch 92, train 0.8427|0.7729, val 0.7504|0.7910, 1.3m 2.2h/2.4h
epoch 93, train 0.7945|0.7836, val 0.7329|0.7963, 1.3m 2.2h/2.4h
epoch 94, train 0.7702|0.7906, val 0.7314|0.7964, 1.3m 2.3h/2.4h
epoch 95, train 0.7563|0.7968, val 0.7190|0.8007, fs 1: 0.5523 5: 0.7884, 2.2m 2.3h/2.4h
epoch 96, train 0.7363|0.8002, val 0.7141|0.8002, 1.3m 2.3h/2.4h
epoch 97, train 0.7248|0.8029, val 0.7067|0.8023, 1.3m 2.3h/2.4h
epoch 98, train 0.7165|0.8064, val 0.7111|0.8002, 1.3m 2.4h/2.4h
epoch 99, train 0.6999|0.8099, val 0.7102|0.7993, 1.2m 2.4h/2.4h
epoch 100, train 0.6935|0.8127, val 0.7111|0.8020, fs 1: 0.5469 5: 0.7884, 2.2m 2.4h/2.4h
